0.999981	460.437
0.999980	460.437
0.998535	549.922
0.998109	824.458
0.998086	919.947
0.997731	1880.98
0.993222	1955.98
0.991826	2366.06
0.990689	2653.93
0.990568	2674.11
0.990146	2719.12
0.986978	3409.14
0.986968	3409.14
0.98696	3409.14
0.986479	3587.08
0.985903	3587.08
0.985816	3610
0.984983	3769.39
0.982612	3824.04
0.98212	4118.82
0.981708	4309.99
0.981314	4326.08
0.965964	6225.13
0.949733	7017.35
0.920051	8398.44
0.899698	8912.67
0.84571	10231.3
0.799215	10231.3
0.748084	10231.3
0.695733	10231.3
0.648756	10231.3
0.598262	10278.1
0.549173	10770.3
0.499897	11063.1
0.498509	11095.1
0.44941	11635.6
0.399717	12022.1
0.347803	12917.4
0.299909	13657.6
0.279924	14292
0.249977	15239.9
0.199631	16706.7
0.174122	18154.2
0.149852	20182.2
0.112343	22784.6
0.0999193	23700.8
0.0687155	28345
0.0499572	31714.8
0.0334316	35011.3
0.0186837	43027.7
0.0107361	52717.2
0.00685625	64158
0.00426604	78054.2
0.00124075	200000
